rank,name,series,score,conf,h1_inc,h1_weeks,pixiv_total,seasonal,vtuber
54,アーニャ・フォージャー,SPY×FAMILY,49.3,B,0,0,15315,58,False
55,リヴァイ,進撃の巨人,49.1,B,0,0,57483,52,False
56,虎杖悠仁,呪術廻戦,48.2,B,0,0,18826,55,False
57,レム,Re:ゼロ,47.5,B,0,0,0,95,False
58,夏油傑,呪術廻戦,47.0,B,0,0,20925,52,False
59,錦木千束,リコリス・リコイル,46.2,B,0,0,23167,50,False
60,伏黒恵,呪術廻戦,45.3,B,0,0,15239,50,False
61,宝鐘マリン,ホロライブ,44.2,C,0,0,39879,40,True
62,雷電将軍,原神,43.9,C,0,0,32142,45,False
63,ライスシャワー,ウマ娘,43.7,C,0,0,35209,40,False
64,甘雨,原神,42.9,C,0,0,28594,40,False
65,兎田ぺこら,ホロライブ,42.8,C,0,0,31576,35,True
66,胡桃,原神,42.8,C,0,0,26324,42,False
67,エレン・イェーガー,進撃の巨人,42.8,C,0,0,25981,42,False
68,フリーナ,原神,42.7,C,0,0,23382,45,False
69,ヨル・フォージャー,SPY×FAMILY,42.6,C,0,0,21195,48,False
70,魂魄妖夢,東方Project,42.4,C,0,0,71222,0,False
71,メジロマックイーン,ウマ娘,42.4,C,0,0,27676,36,False
72,蛍,原神,42.2,C,0,0,25112,38,False
73,湊あくあ,ホロライブ,42.0,C,0,0,25328,35,True
74,アリス・マーガトロイド,東方Project,41.8,C,0,0,60507,0,False
75,トウカイテイオー,ウマ娘,41.8,C,0,0,24434,35,False
76,古明地さとり,東方Project,41.6,C,0,0,57143,0,False
77,さくらみこ,ホロライブ,41.6,C,0,0,25137,32,True
78,井ノ上たきな,リコリス・リコイル,41.5,C,0,0,18828,42,False
79,射命丸文,東方Project,41.3,C,0,0,52838,0,False
80,神里綾華,原神,41.3,C,0,0,20986,35,False
81,ミカサ・アッカーマン,進撃の巨人,41.2,C,0,0,17952,40,False
82,八雲紫,東方Project,41.1,C,0,0,50893,0,False
83,リムル・テンペスト,転生したらスライムだった件,41.0,B,0,0,0,82,False
84,藤原妹紅,東方Project,40.6,C,0,0,44112,0,False
85,鈴仙・優曇華院・イナバ,東方Project,40.3,C,0,0,40654,0,False
86,矢澤にこ,ラブライブ！,40.3,C,0,0,40591,0,False
87,紅美鈴,東方Project,40.2,C,0,0,39707,0,False
88,西行寺幽々子,東方Project,39.9,C,0,0,37196,0,False
89,八雲藍,東方Project,39.3,C,0,0,31759,0,False
90,アグネスタキオン,ウマ娘,39.2,C,0,0,30455,0,False
91,星野アクア,推しの子,39.0,B,0,0,0,78,False
92,天海春香,アイドルマスター,38.8,C,0,0,27977,0,False
93,如月千早,アイドルマスター,38.3,C,0,0,23968,0,False
94,渋谷凛,アイドルマスター,38.0,C,0,0,22419,0,False
95,天音かなた,ホロライブ,37.9,C,0,0,21997,0,True
96,蓬莱山輝夜,東方Project,37.7,C,0,0,20582,0,False
97,オグリキャップ,ウマ娘,37.6,C,0,0,20204,0,False
98,サトノダイヤモンド,ウマ娘,37.5,C,0,0,19801,0,False
99,宵崎奏,プロジェクトセカイ,37.5,C,0,0,19551,0,False
100,椎名真昼,お隣の天使様,37.5,B,0,0,0,75,False
